ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch,trial_profile
10.0.0.1,41.113224,28.700642,PTZ Camera,Axis P5655-E,Istanbul Sector 1,2026-01-11,8080,Verizon,TR,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.0.2,-36.807951,174.609068,IP Camera,Hanwha XNV-8080R,Auckland Sector 2,2025-10-22,443,Verizon,NZ,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.0.3,18.79333,72.565116,IP Camera,Hanwha XNV-8080R,Mumbai Sector 3,2026-01-17,443,AT&T,IN,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.0.4,40.618206,-73.609355,IP Camera,Hanwha XNV-8080R,New York Sector 4,2025-06-04,8080,DigitalOcean,US,North America,GLOBAL_500_V3,fresh_asia_focus
10.0.0.5,-34.025805,151.439116,Bullet Camera,Axis P5655-E,Sydney Sector 5,2026-02-21,80,Verizon,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.0.6,-32.186402,115.389749,PTZ Camera,Hanwha XNV-8080R,Perth Sector 6,2026-01-09,443,AT&T,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.0.7,-32.061987,116.203179,PTZ Camera,Sony SNC-EP580,Perth Sector 7,2025-12-28,8080,Cloudflare,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.0.8,-36.935825,174.842361,PTZ Camera,Hanwha XNV-8080R,Auckland Sector 8,2025-07-20,8080,Airtel,NZ,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.0.9,-34.07768,151.304193,IP Camera,Axis P5655-E,Sydney Sector 9,2026-02-27,443,Airtel,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.0.10,-23.799046,-47.168734,PTZ Camera,Axis P5655-E,Sao Paulo Sector 10,2025-12-07,8080,BT,BR,South America,GLOBAL_500_V3,fresh_asia_focus
10.0.0.11,48.763055,2.592451,Dome Camera,Axis P5655-E,Paris Sector 11,2026-01-02,443,Cloudflare,FR,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.0.12,25.602967,54.926248,Dome Camera,Hanwha XNV-8080R,Dubai Sector 12,2026-01-30,443,AT&T,AE,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.0.13,-34.90186,-58.2878,PTZ Camera,Axis P5655-E,Buenos Aires Sector 13,2025-11-06,8080,Verizon,AR,South America,GLOBAL_500_V3,fresh_asia_focus
10.0.0.14,43.129459,-79.809985,Bullet Camera,Axis P5655-E,Toronto Sector 14,2026-02-24,8080,Verizon,CA,North America,GLOBAL_500_V3,fresh_asia_focus
10.0.0.15,-12.554071,-77.040437,Dome Camera,Hanwha XNV-8080R,Lima Sector 15,2025-08-03,554,BT,PE,South America,GLOBAL_500_V3,fresh_asia_focus
10.0.0.16,-32.35727,115.762488,PTZ Camera,Sony SNC-EP580,Perth Sector 16,2026-02-09,443,Cloudflare,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.1.17,6.542279,3.072202,IP Camera,Hanwha XNV-8080R,Lagos Sector 17,2025-07-11,8080,Airtel,NG,Africa,GLOBAL_500_V3,fresh_asia_focus
10.0.1.18,51.597251,-0.437534,Dome Camera,Axis P5655-E,London Sector 18,2026-01-31,8080,Airtel,GB,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.1.19,19.841596,-99.504838,PTZ Camera,Hanwha XNV-8080R,Mexico City Sector 19,2025-12-06,554,DigitalOcean,MX,North America,GLOBAL_500_V3,fresh_asia_focus
10.0.1.20,24.937415,51.111121,Bullet Camera,Hanwha XNV-8080R,Doha Sector 20,2026-01-05,554,Lumen,QA,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.1.21,43.416549,-79.88948,IP Camera,Hanwha XNV-8080R,Toronto Sector 1,2025-09-27,8080,AT&T,CA,North America,GLOBAL_500_V3,fresh_asia_focus
10.0.1.22,33.586266,-7.365446,PTZ Camera,Sony SNC-EP580,Casablanca Sector 2,2025-09-29,443,AT&T,MA,Africa,GLOBAL_500_V3,fresh_asia_focus
10.0.1.23,32.391645,34.545374,Bullet Camera,Hanwha XNV-8080R,Tel Aviv Sector 3,2026-01-28,443,AT&T,IL,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.1.24,49.359464,2.374755,IP Camera,Hanwha XNV-8080R,Paris Sector 4,2026-02-22,8080,Comcast,FR,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.1.25,37.01933,127.297207,PTZ Camera,Dahua SD49425XB,Seoul Sector 5,2026-03-02,8080,DigitalOcean,KR,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.1.26,25.656683,55.18723,Bullet Camera,Hanwha XNV-8080R,Dubai Sector 6,2026-02-08,8080,Verizon,AE,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.1.27,25.104473,51.677841,PTZ Camera,Hanwha XNV-8080R,Doha Sector 7,2026-02-28,443,Comcast,QA,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.1.28,29.029778,77.028361,Bullet Camera,Axis P5655-E,Delhi Sector 8,2026-01-22,80,AT&T,IN,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.1.29,18.89492,-98.60987,Dome Camera,Bosch FLEXIDOME,Mexico City Sector 9,2026-01-16,80,AT&T,MX,North America,GLOBAL_500_V3,fresh_asia_focus
10.0.1.30,32.615418,35.307191,PTZ Camera,Axis P5655-E,Tel Aviv Sector 10,2026-02-07,8080,Airtel,IL,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.1.31,-36.413804,174.554865,IP Camera,Hanwha XNV-8080R,Auckland Sector 11,2025-04-24,443,Lumen,NZ,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.1.32,13.348528,99.972607,Dome Camera,Axis P5655-E,Bangkok Sector 12,2026-01-24,443,AT&T,TH,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.2.33,-34.184634,150.869492,IP Camera,Hanwha XNV-8080R,Sydney Sector 13,2025-08-19,8080,AT&T,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.2.34,28.217422,77.000962,Dome Camera,Axis P5655-E,Delhi Sector 14,2026-01-01,8080,BT,IN,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.2.35,5.088481,-0.635469,Dome Camera,Axis P5655-E,Accra Sector 15,2025-10-21,8080,Cloudflare,GH,Africa,GLOBAL_500_V3,fresh_asia_focus
10.0.2.36,24.969271,51.985494,Bullet Camera,Hikvision DS-2CD2085G1,Doha Sector 16,2025-12-07,80,Airtel,QA,Middle East,GLOBAL_500_V3,fresh_asia_focus
10.0.2.37,1.843474,103.406971,PTZ Camera,Axis P5655-E,Singapore Sector 17,2025-11-29,8080,AT&T,SG,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.2.38,41.063405,-74.323751,PTZ Camera,Axis P5655-E,New York Sector 18,2026-03-06,443,AT&T,US,North America,GLOBAL_500_V3,fresh_asia_focus
10.0.2.39,-32.253111,115.92569,IP Camera,Hanwha XNV-8080R,Perth Sector 19,2026-02-04,8080,Verizon,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.2.40,42.426922,12.048884,PTZ Camera,Axis P5655-E,Rome Sector 20,2026-03-05,443,Lumen,IT,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.2.41,51.439932,-0.227333,Bullet Camera,Hanwha XNV-8080R,London Sector 1,2024-12-16,8080,Airtel,GB,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.2.42,13.3765,100.071998,Bullet Camera,Axis P5655-E,Bangkok Sector 2,2026-01-26,8080,BT,TH,Asia,GLOBAL_500_V3,fresh_asia_focus
10.0.2.43,-31.865132,116.114808,PTZ Camera,Hanwha XNV-8080R,Perth Sector 3,2025-11-25,80,DigitalOcean,AU,Oceania,GLOBAL_500_V3,fresh_asia_focus
10.0.2.44,40.421616,-3.709612,Bullet Camera,Axis P5655-E,Madrid Sector 4,2025-07-24,443,Verizon,ES,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.2.45,41.383378,12.833731,IP Camera,Axis P5655-E,Rome Sector 5,2026-01-30,554,DigitalOcean,IT,Europe,GLOBAL_500_V3,fresh_asia_focus
10.0.2.46,19.058598,73.370848,IP Camera,Sony SNC-EP580,Mumbai Sector 6,2026-02-19,443,Comcast,IN,Asia,GLOBAL_500_V3,fresh_asia_focus
