ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch,trial_profile
10.0.0.1,52.582981,21.312016,Dome Camera,Axis P5655-E,Warsaw Sector 1,2025-03-05,554,Airtel,PL,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.0.2,25.232889,55.230951,Dome Camera,Hanwha XNV-8080R,Dubai Sector 2,2025-08-02,554,BT,AE,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.0.3,51.34296,-0.274113,Dome Camera,Sony SNC-EP580,London Sector 3,2026-01-07,554,DigitalOcean,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.0.4,37.706251,126.716618,PTZ Camera,Hikvision DS-2CD2085G1,Seoul Sector 4,2025-04-20,443,Airtel,KR,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.0.5,6.381386,3.545155,Bullet Camera,Hikvision DS-2CD2085G1,Lagos Sector 5,2025-07-31,554,DigitalOcean,NG,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.0.6,-1.568956,37.212424,Bullet Camera,Hanwha XNV-8080R,Nairobi Sector 6,2025-04-17,80,Comcast,KE,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.0.7,-32.11851,116.072143,PTZ Camera,Axis P5655-E,Perth Sector 7,2026-03-09,8080,BT,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.0.8,33.845352,-7.975235,IP Camera,Dahua SD49425XB,Casablanca Sector 8,2026-01-05,554,Cloudflare,MA,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.0.9,24.997194,51.825995,Bullet Camera,Bosch FLEXIDOME,Doha Sector 9,2026-01-10,554,Airtel,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.0.10,24.969664,51.904802,Dome Camera,Axis P5655-E,Doha Sector 10,2025-10-19,8080,AT&T,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.0.11,51.121042,-0.267533,IP Camera,Axis P5655-E,London Sector 11,2025-10-13,443,Airtel,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.0.12,-34.564188,-58.306534,Dome Camera,Sony SNC-EP580,Buenos Aires Sector 12,2025-05-04,8080,Airtel,AR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.0.13,29.677163,31.297814,Dome Camera,Hikvision DS-2CD2085G1,Cairo Sector 13,2025-07-16,8080,Airtel,EG,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.0.14,40.066358,-3.572032,Dome Camera,Axis P5655-E,Madrid Sector 14,2025-10-06,554,BT,ES,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.0.15,35.469776,139.854092,Dome Camera,Bosch FLEXIDOME,Tokyo Sector 15,2025-01-15,80,DigitalOcean,JP,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.0.16,40.470518,-74.361286,IP Camera,Hanwha XNV-8080R,New York Sector 16,2025-06-29,554,DigitalOcean,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.1.17,-26.526984,28.282315,Dome Camera,Hanwha XNV-8080R,Johannesburg Sector 17,2025-10-24,8080,Airtel,ZA,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.1.18,-33.683051,151.012445,IP Camera,Hikvision DS-2CD2085G1,Sydney Sector 18,2025-10-24,554,Airtel,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.1.19,29.991138,31.398367,IP Camera,Axis P5655-E,Cairo Sector 19,2025-11-22,554,AT&T,EG,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.1.20,28.601729,77.139894,PTZ Camera,Hikvision DS-2CD2085G1,Delhi Sector 20,2026-03-06,554,BT,IN,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.1.21,40.736568,29.001867,PTZ Camera,Hanwha XNV-8080R,Istanbul Sector 1,2025-01-17,8080,Airtel,TR,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.1.22,41.763293,12.597802,Bullet Camera,Axis P5655-E,Rome Sector 2,2025-11-18,554,Comcast,IT,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.1.23,52.091732,21.075263,Dome Camera,Dahua SD49425XB,Warsaw Sector 3,2025-08-06,554,Airtel,PL,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.1.24,-1.188177,36.498785,Bullet Camera,Bosch FLEXIDOME,Nairobi Sector 4,2025-07-19,8080,Airtel,KE,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.1.25,31.913032,35.10883,Dome Camera,Sony SNC-EP580,Tel Aviv Sector 5,2025-08-29,554,DigitalOcean,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.1.26,24.965001,51.266616,Bullet Camera,Sony SNC-EP580,Doha Sector 6,2025-10-07,80,AT&T,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.1.27,-38.206498,144.649649,IP Camera,Axis P5655-E,Melbourne Sector 7,2025-04-19,554,DigitalOcean,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.1.28,31.835724,34.924683,Bullet Camera,Axis P5655-E,Tel Aviv Sector 8,2024-12-20,554,DigitalOcean,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.1.29,52.488101,20.658239,IP Camera,Hanwha XNV-8080R,Warsaw Sector 9,2025-10-01,8080,Airtel,PL,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.1.30,14.12302,100.644459,Dome Camera,Dahua SD49425XB,Bangkok Sector 10,2024-10-20,8080,BT,TH,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.1.31,52.033903,20.776126,Bullet Camera,Hanwha XNV-8080R,Warsaw Sector 11,2025-11-10,554,AT&T,PL,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.1.32,-37.655441,145.063937,Bullet Camera,Sony SNC-EP580,Melbourne Sector 12,2025-11-13,443,Airtel,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.2.33,25.509314,51.832084,Bullet Camera,Hanwha XNV-8080R,Doha Sector 13,2025-10-30,554,BT,QA,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.2.34,-1.157909,36.527613,PTZ Camera,Hikvision DS-2CD2085G1,Nairobi Sector 14,2025-06-30,554,AT&T,KE,Africa,GLOBAL_500_V5,review_stale_global_mix
10.0.2.35,41.291664,29.017509,PTZ Camera,Sony SNC-EP580,Istanbul Sector 15,2025-06-07,554,Airtel,TR,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.2.36,37.946434,126.7844,Bullet Camera,Axis P5655-E,Seoul Sector 16,2025-04-13,443,Airtel,KR,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.2.37,-34.677466,-58.303455,Dome Camera,Hikvision DS-2CD2085G1,Buenos Aires Sector 17,2025-12-08,8080,DigitalOcean,AR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.2.38,32.368461,34.51983,IP Camera,Hikvision DS-2CD2085G1,Tel Aviv Sector 18,2025-12-07,8080,BT,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.2.39,52.303278,20.638739,Dome Camera,Dahua SD49425XB,Warsaw Sector 19,2025-10-28,8080,BT,PL,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.2.40,49.050225,2.140819,IP Camera,Hanwha XNV-8080R,Paris Sector 20,2025-08-06,554,DigitalOcean,FR,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.2.41,13.731115,100.291471,PTZ Camera,Hanwha XNV-8080R,Bangkok Sector 1,2025-03-02,80,Verizon,TH,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.2.42,-31.559468,116.176594,IP Camera,Axis P5655-E,Perth Sector 2,2025-04-14,80,DigitalOcean,AU,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.2.43,4.667187,-74.411435,Dome Camera,Bosch FLEXIDOME,Bogota Sector 3,2025-11-05,8080,DigitalOcean,CO,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.2.44,40.787514,-74.386361,Dome Camera,Bosch FLEXIDOME,New York Sector 4,2025-10-23,554,Cloudflare,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.2.45,40.990821,28.62445,Dome Camera,Hanwha XNV-8080R,Istanbul Sector 5,2025-06-29,8080,BT,TR,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.2.46,51.234328,-0.392879,Bullet Camera,Hanwha XNV-8080R,London Sector 6,2025-10-09,8080,BT,GB,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.2.47,-5.918231,107.110316,IP Camera,Axis P5655-E,Jakarta Sector 7,2026-02-28,554,Airtel,ID,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.2.48,1.320358,104.215211,Bullet Camera,Sony SNC-EP580,Singapore Sector 8,2025-08-04,554,DigitalOcean,SG,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.3.49,5.010194,-74.467319,IP Camera,Bosch FLEXIDOME,Bogota Sector 9,2026-02-04,554,BT,CO,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.3.50,32.253431,34.776552,PTZ Camera,Hanwha XNV-8080R,Tel Aviv Sector 10,2025-10-21,8080,Airtel,IL,Middle East,GLOBAL_500_V5,review_stale_global_mix
10.0.3.51,19.553967,-98.772105,PTZ Camera,Hikvision DS-2CD2085G1,Mexico City Sector 11,2025-12-25,8080,BT,MX,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.3.52,40.506218,-3.72971,Dome Camera,Dahua SD49425XB,Madrid Sector 12,2025-10-05,554,AT&T,ES,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.3.53,51.914393,20.650685,Bullet Camera,Dahua SD49425XB,Warsaw Sector 13,2026-01-25,8080,DigitalOcean,PL,Europe,GLOBAL_500_V5,review_stale_global_mix
10.0.3.54,-34.555116,-58.437219,Bullet Camera,Dahua SD49425XB,Buenos Aires Sector 14,2026-02-15,8080,DigitalOcean,AR,South America,GLOBAL_500_V5,review_stale_global_mix
10.0.3.55,37.69787,127.137824,PTZ Camera,Hanwha XNV-8080R,Seoul Sector 15,2024-10-18,554,BT,KR,Asia,GLOBAL_500_V5,review_stale_global_mix
10.0.3.56,40.660736,-74.093183,IP Camera,Bosch FLEXIDOME,New York Sector 16,2025-11-07,554,Verizon,US,North America,GLOBAL_500_V5,review_stale_global_mix
10.0.3.57,-37.046966,175.005772,PTZ Camera,Bosch FLEXIDOME,Auckland Sector 17,2026-03-07,8080,AT&T,NZ,Oceania,GLOBAL_500_V5,review_stale_global_mix
10.0.3.58,41.938889,12.29212,IP Camera,Dahua SD49425XB,Rome Sector 18,2025-05-01,8080,BT,IT,Europe,GLOBAL_500_V5,review_stale_global_mix
